,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
22,pendant,while
23,revoir,meet again
24,aucune,any
25,place,square
26,parle,speak
27,compris,understood
28,savais,knew
29,attention,Warning
30,pourrais,could
31,affaire,case
32,donner,give
33,type,type
34,leurs,their
35,donné,given
36,train,train
37,corps,body
38,endroit,place
39,trouve,find
40,premier,first
41,perdu,lost
42,main,hand
43,première,first
44,côté,side
45,vieux,old
46,sois,be
47,tiens,here
48,matin,morning
49,tellement,so much
50,point,point
51,venu,came
52,suite,after
53,pardon,sorry
54,venez,come
55,devant,in front of
56,minutes,minutes
57,chambre,bedroom
58,mis,placed
59,belle,beautiful
60,aujourd'hui,today
61,mari,husband
62,enfin,finally
63,espère,hope
64,eau,water
65,attendez,Wait
66,parti,left
67,nouvelle,new
68,boulot,job
69,arrêter,Stop
70,dirait,would say
71,terre,Earth
72,compte,account
73,donne,given
74,loin,far
75,fin,end
76,croire,believe
77,chérie,sweetheart
78,gros,large
79,plutôt,rather
80,filles,girls
81,jouer,to play
82,bureau,office
